Title,Summary,Categories,References,Links,Last_Edited,Word_Count,Image_Count,Section_Count,External_Links,First_Edit_Year
Wikipedia:FAQ/Categorization,Unknown,Wikipedia FAQs;Wikipedia categorization;Wikipedia categories,0,142,26-Jan-25,0,1,0,5,Unknown
Science,Unknown,Science;Observation;Main topic articles,2,2499,17-Apr-25,0,1,0,457,2025
Outline of science,,Outlines of sciences;Outlines;Science;Science-related lists,1,382,7-Apr-25,492,4,23,2,2025
Scienticide,"Scienticide is a concept used to refer to various multifaceted processes or phenomena that lead to the harassment, reduction, or outright destruction of scientific and technological systems in some countries of the world, as well as the exile or abandonment of researchers from their places of training. These can occur for various reasons, such as wars, political repression, lack of opportunities, climate crises, foreign interventions, economic policies, or ideological persecution.[1][2][3]",Social concepts;Science;Anti-intellectualism,24,142,20-Jan-25,645,0,3,40,2025
Wikipedia:FAQ/Categorization,Unknown,Wikipedia FAQs;Wikipedia categorization;Wikipedia categories,0,142,26-Jan-25,0,1,0,5,Unknown
Branches of science,,Branches of science;Scientific disciplines,8,799,10-Mar-25,2593,5,22,60,2025
Applied science,,Applied sciences;Branches of science,23,235,6-Mar-25,914,7,6,52,2025
Formal science,,Formal sciences;Branches of science,4,125,20-Apr-25,207,3,6,6,2025
Natural science,"Natural science or empirical science is one of the branches of science concerned with the description, understanding and prediction of natural phenomena, based on empirical evidence from observation and experimentation.[1] Mechanisms such as peer review and reproducibility of findings are used to try to ensure the validity of scientific advances.",Natural sciences;Branches of science,79,947,28-Mar-25,5181,36,19,40,2025
Social science,,Social sciences;Academic disciplines;Branches of science;Administrative theory,1,1406,14-Apr-25,5580,27,34,156,2025
Wikipedia:FAQ/Categorization,Unknown,Wikipedia FAQs;Wikipedia categorization;Wikipedia categories,0,142,26-Jan-25,0,1,0,5,Unknown
Branches of science,,Branches of science;Scientific disciplines,8,799,10-Mar-25,2593,5,22,60,2025
Draft:Biolimitics,"Biometics is an emerging interdisciplinary scientific field that investigates the structural, behavioral, and functional mimicry among living organisms across different taxa. It focuses on how diverse species independently evolve similar traits and systems, often in response to analogous environmental pressures, a phenomenon known as convergent evolution.",Biology;Systems biology;Evolutionary biology;Biomimetics;Scientific disciplines,1,17,25-Apr-25,214,0,8,0,2025
Wikipedia:FAQ/Categorization,Unknown,Wikipedia FAQs;Wikipedia categorization;Wikipedia categories,0,142,26-Jan-25,0,1,0,5,Unknown
Scientist,A scientist is a person who researches to advance knowledge in an area of the natural sciences.[1][2][3][4],Scientists;Science occupations,55,837,27-Mar-25,2151,16,18,85,2025
Wikipedia:FAQ/Categorization,Unknown,Wikipedia FAQs;Wikipedia categorization;Wikipedia categories,0,142,26-Jan-25,0,1,0,5,Unknown
Science and technology studies,"Science and technology studies (STS) or science, technology, and society is an interdisciplinary field that examines the creation, development, and consequences of science and technology in their historical, cultural, and social contexts.[1]",Science and technology studies;Science studies;Futures studies;Social epistemology;Social sciences;Sociology of science;Science in society;Technology in society;Philosophy of technology,95,1058,18-Apr-25,3606,10,29,165,2025
ABC@Home,ABC@Home was an educational and non-profit network computing project finding abc-triples related to the abc conjecture in number theory using the Berkeley Open Infrastructure for Network Computing (BOINC) volunteer computing platform.,Berkeley Open Infrastructure for Network Computing projects;Science in society;Computational number theory;Volunteer computing projects;Abc conjecture;Computing stubs,3,144,24-Sep-24,111,3,3,9,2024
Africa@home,"Africa@home is a website that allow users to use their home computers to contribute for humanitarian causes at Africa. This project first went public on 13 July 2006.[1] It partners with Swiss Tropical Institute, the University of Geneva, CERN, and ICVolunteers (ICV). It is sponsored by the Geneva International Academic Network (GIAN).[2]",Berkeley Open Infrastructure for Network Computing projects;International development in Africa;Health in Africa;Volunteer computing projects;Science in society;Website stubs,4,139,9-Mar-25,107,1,2,7,2025
Alan Alda Center for Communicating Science,"The Alan Alda Center for Communicating Science is a cross-disciplinary organization founded in 2009 within Stony Brook University's School of Communication and Journalism, in Stony Brook, New York.[1] Its current director is Laura Lindenfeld.[1] Its goal is to help scientists learn to communicate more effectively with the public, including policymakers, students, funders and the media. It was inspired by Alan Alda, the actor, writer and science advocate, in whose honor it was renamed in 2013, and is supported by Brookhaven National Laboratory and Cold Spring Harbor Laboratory.[2]",Stony Brook University;Brookhaven National Laboratory;Science education in the United States;Science in society,9,57,3-Aug-24,167,5,3,12,2024
Andrei Sakharov Prize (APS),"The Andrei Sakharov Prize is a prize that is to be awarded every second year by the American Physical Society since 2006. The recipients are chosen for ""outstanding leadership and/or achievements of scientists in upholding human rights"". The prize is named after Andrei Sakharov (1921-1989), Soviet nuclear physicist, dissident and human rights activist; since 2007 it has been valued at $10,000.[1] The first Sakharov Prize was awarded to physicist and former Soviet gulag prisoner Yuri Orlov.[2]",Awards of the American Physical Society;Science in society;Human rights awards;Awards established in 2006,3,99,5-Sep-24,77,0,4,6,2024
AQUA@home,"AQUA@home was a volunteer computing project operated by D-Wave Systems that ran on the Berkeley Open Infrastructure for Network Computing (BOINC) software platform. It ceased functioning in August 2011. Its goal was to predict the performance of superconducting adiabatic quantum computers on a variety of problems arising in fields ranging from materials science to machine learning. It designed and analyzed quantum computing algorithms, using Quantum Monte Carlo techniques.",Berkeley Open Infrastructure for Network Computing projects;Science in society;Volunteer computing projects;Quantum information science;Computer science stubs;Quantum physics stubs,2,159,28-Mar-25,120,4,2,9,2025
Artificial Intelligence System,"Artificial Intelligence System (AIS) was a volunteer computing project undertaken by Intelligence Realm, Inc. with the long-term goal of simulating the human brain in real time, complete with artificial consciousness and artificial general intelligence. They claimed to have found, in research, the ""mechanisms of knowledge representation in the brain which is equivalent to finding artificial intelligence"",[1] before moving into the developmental phase.",Berkeley Open Infrastructure for Network Computing projects;Free science software;Science in society;Volunteer computing projects;Artificial neural networks;Computational neuroscience;History of artificial intelligence,6,149,2-Jul-24,242,1,5,14,2024
Australian National Centre for the Public Awareness of Science,,Australian National University;Science in society;Scientific organisations based in Australia,12,159,28-Dec-22,780,2,6,25,2022
Body Worlds,,Human anatomy;Anatomical preservation;Traveling exhibits;Science education;Science in society;Sculpture exhibitions;Science exhibitions,66,419,22-Oct-24,3244,4,22,103,2024
Bugscope,"Bugscope is a web-based science outreach program that connects K-12 classrooms with microscopists at the Beckman Institute for Advanced Science and Technology at UIUC to explore insects under a high-powered scanning electron microscope (SEM).[1] Launched in 1998, Bugscope allows students to observe microscopic details of insects and other organisms, sparking curiosity and fostering scientific discovery.[2] The program has reached students globally, offering live, interactive sessions that align with educational standards.[3]",University and college laboratories in the United States;1998 establishments;Scientific organizations established in 1998;Science communication;Science in society;University of Illinois Urbana-Champaign,4,17,3-Feb-25,93,0,2,4,2025
Clean Energy Project,The Clean Energy Project (CEP) was a virtual high-throughput discovery and design effort for the next generation of plastic solar cell materials that has finished. It studies millions of candidate structures to identify suitable compounds for the harvesting of renewable energy from the sun and for other organic electronic applications. It ran on the BOINC platform.,Berkeley Open Infrastructure for Network Computing projects;Science in society;Free science software,4,167,8-Jan-23,141,1,6,23,2023
climateprediction.net,"climateprediction.net (CPDN) is a volunteer computing project to investigate and reduce uncertainties in climate modelling. It aims to do this by running hundreds of thousands of different models (a large climate ensemble) using the donated idle time of ordinary personal computers, thereby leading to a better understanding of how models are affected by small changes in the many parameters known to influence the global climate.[3]",Berkeley Open Infrastructure for Network Computing projects;Volunteer computing projects;Information technology organisations based in the United Kingdom;Numerical climate and weather models;Meteorology and climate education;Science and technology in Oxfordshire;Science in society,27,455,11-Apr-25,2260,8,13,69,2025
Committee on the Public Understanding of Science,"The Committee on the Public Understanding of Science or Copus was founded in 1985 by the British Association for the Advancement of Science (BAAS), the Royal Institution and the Royal Society. Copus came about as a result of the 'Bodmer Report' by the eminent geneticist Walter Bodmer. The aim of Copus was to interpret scientific advances and make them more accessible to non-scientists.",Royal Institution;Royal Society;Science in society;Science communication;Science education in the United Kingdom;Scientific organisations based in the United Kingdom;1985 establishments in the United Kingdom;Scientific organizations established in 1985;Scientific organization stubs,1,19,28-Mar-25,181,1,1,1,2025
Conversazione,,History of science;Social events;Citizen science;Science and culture;Science exhibitions;Science festivals;Science in society;Popular education;Literary festivals;Literary terminology;Cultural education,22,138,7-Mar-25,189,4,10,23,2025
Cosmology@Home,"Cosmology@Home was a volunteer computing project that uses the BOINC platform and was formerly run at the Departments of Astronomy and Physics at the University of Illinois at Urbana-Champaign. The project has moved to the Institut Lagrange de Paris and the Institut d'Astrophysique de Paris, both of which are located in the Pierre and Marie Curie University.[1][2]",Berkeley Open Infrastructure for Network Computing projects;Volunteer computing projects;Free science software;French National Centre for Scientific Research;University of Illinois Urbana-Champaign;Science in society,6,185,5-Apr-25,380,9,7,22,2025
Denialism,,Denialism;Barriers to critical thinking;Cognitive dissonance;Politics by issue;Propaganda techniques;Public relations techniques;Science in society,1,1238,11-Apr-25,2911,16,25,267,2025
Docking@Home,Docking@Home was a volunteer computing project hosted by the University of Delaware and running on the Berkeley Open Infrastructure for Network Computing (BOINC) software platform.  It models protein-ligand docking using the CHARMM program. Volunteer computing allows an extensive search of protein-ligand docking conformations and selection of near-native ligand conformations are achieved by using ligand based hierarchical clustering.[2] The ultimate aim was the development of new pharmaceutical drugs.,Berkeley Open Infrastructure for Network Computing projects;Science in society;Volunteer computing projects;Internet properties disestablished in 2014;University of Delaware;Free science software;Computer science stubs;Computer network stubs,2,158,9-Aug-23,103,5,4,11,2023
Einstein@Home,"Einstein@Home is a volunteer computing project that searches for signals from spinning neutron stars in data from gravitational-wave detectors, from large radio telescopes, and from a gamma-ray telescope. Neutron stars are detected by their pulsed radio and gamma-ray emission as radio and/or gamma-ray pulsars. They also might be observable as continuous gravitational wave sources if they are rapidly spinning and non-axisymmetrically deformed. The project was officially launched on 19 February 2005 as part of the American Physical Society's contribution to the World Year of Physics 2005 event.[3]",Berkeley Open Infrastructure for Network Computing projects;Science in society;Volunteer computing projects;Gravitational-wave telescopes;University of Wisconsin–Milwaukee;Free science software;2005 software;Research institutes in Lower Saxony,70,1274,8-Feb-25,3811,10,8,359,2025
eOn,"eOn[1] was a volunteer computing project running on the Berkeley Open Infrastructure for Network Computing (BOINC) platform, which uses theoretical chemistry techniques to solve problems in condensed matter physics and materials science.  It was a project of the Institute for Computational Engineering and Sciences at the University of Texas.",Berkeley Open Infrastructure for Network Computing projects;Science in society;Free science software;Volunteer computing projects;Condensed matter stubs;Computing stubs;Physical chemistry stubs,2,163,19-Jun-24,183,4,2,10,2024
